CustomerID,Customer_Segment,Action_Priority,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,AvgOrderValue,PurchaseFrequency,CustomerLifespanDays,AvgDaysBetweenOrders,UniqueProducts,TotalQuantity,Cohort_Year,Cohort_Month,FirstPurchaseDate,LastPurchaseDate
14646,VIP Customers,1,7,70,268478,5,5,5,15,3835.40,0.206490,339,4.91,680,188957,2010,12,2010-12-20 10:09:00.000,2011-11-23 11:06:00.000
18102,VIP Customers,1,2,57,248171.76,5,5,5,15,4353.89,0.159664,357,6.38,150,61426,2010,12,2010-12-07 16:42:00.000,2011-11-28 12:55:00.000
17450,VIP Customers,1,1,45,192828.39,5,5,5,15,4285.08,0.125698,358,8.14,124,69253,2010,12,2010-12-07 09:23:00.000,2011-11-29 09:56:00.000
14911,VIP Customers,1,0,192,136732.25,5,5,5,15,712.15,0.526027,365,1.91,1734,76294,2010,12,2010-12-01 14:05:00.000,2011-11-30 15:08:00.000
12415,VIP Customers,1,15,21,124914.53,4,5,5,14,5948.31,0.066879,314,15.70,444,77374,2011,1,2011-01-06 11:12:00.000,2011-11-15 14:22:00.000
14156,VIP Customers,1,0,55,117210.08,5,5,5,15,2131.09,0.151515,363,6.72,714,57768,2010,12,2010-12-03 11:48:00.000,2011-11-30 10:54:00.000
17511,VIP Customers,1,7,29,83683.06,5,5,5,15,2885.62,0.081006,358,12.79,428,57334,2010,12,2010-12-01 10:19:00.000,2011-11-23 10:31:00.000
16029,VIP Customers,1,29,63,80613.24,4,5,5,14,1279.58,0.187500,336,5.42,44,39964,2010,12,2010-12-01 09:57:00.000,2011-11-01 10:27:00.000
13694,VIP Customers,1,16,47,61908.46,4,5,5,14,1317.20,0.134670,349,7.59,352,60872,2010,12,2010-12-01 12:12:00.000,2011-11-14 11:11:00.000
16684,VIP Customers,1,2,27,61251.58,5,5,5,15,2268.58,0.077586,348,13.38,117,45523,2010,12,2010-12-16 17:34:00.000,2011-11-28 15:35:00.000
15311,VIP Customers,1,1,88,59457.1,5,5,5,15,675.65,0.241758,364,4.18,561,37639,2010,12,2010-12-01 09:41:00.000,2011-11-29 13:12:00.000
14096,VIP Customers,1,2,16,56219.7699999999,5,5,5,15,3513.74,0.175824,91,6.07,1078,14156,2011,8,2011-08-30 10:49:00.000,2011-11-28 15:54:00.000
17949,VIP Customers,1,8,40,55635.76,5,5,5,15,1390.89,0.112676,355,9.10,29,26798,2010,12,2010-12-03 13:12:00.000,2011-11-22 08:44:00.000
13089,VIP Customers,1,2,93,54080.46,5,5,5,15,581.51,0.259053,359,3.90,627,28737,2010,12,2010-12-05 10:27:00.000,2011-11-28 14:53:00.000
15769,VIP Customers,1,21,25,52848.72,4,5,5,14,2113.95,0.073099,342,14.25,26,27928,2010,12,2010-12-03 15:16:00.000,2011-11-09 11:55:00.000
14298,VIP Customers,1,21,43,50889.7,4,5,5,14,1183.48,0.129909,331,7.88,883,57983,2010,12,2010-12-14 12:59:00.000,2011-11-09 10:26:00.000
15061,VIP Customers,1,1,47,50638.28,5,5,5,15,1077.41,0.129477,363,7.89,70,27510,2010,12,2010-12-02 15:19:00.000,2011-11-29 10:52:00.000
14088,VIP Customers,1,1,13,50491.81,5,5,5,15,3883.99,0.041534,313,26.08,379,12665,2011,1,2011-01-21 13:07:00.000,2011-11-29 16:16:00.000
12931,VIP Customers,1,12,15,41518.96,5,5,5,15,2767.93,0.044510,337,24.07,28,27704,2010,12,2010-12-17 09:45:00.000,2011-11-18 12:39:00.000
17841,VIP Customers,1,1,120,37988.1,5,5,5,15,316.57,0.329670,364,3.06,1288,21275,2010,12,2010-12-01 14:41:00.000,2011-11-29 17:52:00.000
